_id,name,cuisines,address,locationRate,qualityRate,serviceRate,priceRate,spaceRate,avgRating,priceRange,timeOpen,Final_Score_Normalized,average_score,classification
67812ec1514dba6089ed90e3,Chè & Cơm Tấm Sài Gòn - Ngọc Lâm,Món Việt,"128 Ngọc Lâm, P. Ngọc Lâm, Quận Long Biên, Hà Nội",7.0,5.0,5.0,5.0,6.0,5.6,15.000đ - 30.000đ,09:00 - 22:00,5.6,5.6,Neutral
67812ec1514dba6089ed9293,Pomi - Bánh Mì Thịt Xiên & Bơ Mật Ong,Món Việt,"29 Ngõ 281 Vĩnh Hưng, P. Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",6.0,5.6,5.2,5.4,5.8,5.6,10.000đ - 100.000đ,07:00 - 19:30,5.6,5.6,Neutral
67812ec1514dba6089ed9383,Cháo 174 - Nguyễn Tri Phương,Món Việt,"174 Nguyễn Tri Phương, P. 9, Quận 5, TP. HCM",6.4,5.4,4.2,5.2,5.9,5.42,15.000đ - 50.000đ,17:00 - 01:00,5.767692307692308,5.593846153846155,Neutral
67812ec1514dba6089ed910a,"Quỳnh - Bún Mẹt, Bún Chả & Bánh Cuốn",Món Việt,"28 Ngõ 282 Kim Giang, P. Đại Kim, Quận Hoàng Mai, Hà Nội",6.3,5.3,5.0,5.3,6.0,5.58,20.000đ - 50.000đ,07:00 - 22:00,5.58,5.58,Neutral
67812ec1514dba6089ed90e1,Gà 36 - Linh Đàm,Món Việt,"36 Nguyễn Hữu Thọ (đường đôi Linh Đàm), P. Hoàng Liệt, Quận Hoàng Mai, Hà Nội",5.9,5.8,4.9,5.5,5.8,5.58,70.000đ - 165.000đ,10:30 - 14:00 | 16:00 - 22:00,5.58,5.58,Neutral
67812ec1514dba6089ed9339,Lẩu Nhúng Nhà Ngô - Lẩu & Nướng - Võ Thị Sáu,Món Việt,"32/5 Võ Thị Sáu, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai",7.0,6.4,6.0,6.2,6.4,6.4,20.000đ - 100.000đ,13:00 - 23:00,4.71076923076923,5.555384615384615,Neutral
67812ec1514dba6089ed92af,Tía Tô Đỏ - Bún Chả Ngon Nhất Hà Nội,Hà Nội,"8 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",6.7,5.8,5.0,5.7,6.0,5.84,40.000đ - 77.000đ,08:00 - 20:00,5.240384615384616,5.540192307692308,Neutral
67812ec1514dba6089ed9352,"3 Râu - Gà Rán, Pizza & Trà Sữa - 309 Lê Văn Lương",Món Việt,"309 Lê Văn Lương, P. Tân Quy, Quận 7, TP. HCM",6.3,5.3,3.7,5.3,6.3,5.38,12.000đ - 120.000đ,09:00 - 23:00,5.696153846153846,5.538076923076924,Neutral
67812ec1514dba6089ed9390,Beefsteak Hai Con Bò - Nguyễn Thị Minh Khai,Món Việt,"496C Nguyễn Thị Minh Khai, Quận 3, TP. HCM",7.3,6.6,6.3,6.5,6.6,6.66,50.000đ - 130.000đ,08:00 - 20:00,4.403846153846153,5.531923076923077,Neutral
67812ec1514dba6089ed922b,Hường - Bánh Xèo & Nem Lụi,Món Việt,"Ngõ 296 Minh Khai, Ngách 86, Số Nhà 42, P. Mai Động, Quận Hoàng Mai, Hà Nội",6.1,5.5,5.1,5.2,5.7,5.52,20.000đ - 50.000đ,15:00 - 23:00,5.52,5.52,Neutral
